unique_id,timestamp,country,y_pred,y_proba,target_date,model_version,runtime
849aa3df-bb21-4451-adee-768d2d444759,1608333402.936606,all,[179422.6362],None,2018-01-05,0.1,000:00:32
c3565257-8a41-4f5b-af03-adeaa8058d12,1608334814.6493282,netherlands,[0],"[0.6, 0.4]",2019-01-05,0.1,00:00:02
eacf720c-5944-497d-a5d1-decfb56b81c9,1608334956.6944,netherlands,[0],"[0.6, 0.4]",2019-01-05,0.1,00:00:02
74e6c19e-01ec-4330-8efe-7039cab18c53,1608335028.883704,netherlands,[0],"[0.6, 0.4]",2019-01-05,0.1,00:00:02
7e8b25e8-1283-43e7-a0af-669e164d6d87,1608335225.931797,netherlands,[0],"[0.6, 0.4]",2019-01-05,0.1,00:00:02
1f07f2a7-244c-453f-9c65-05635da76fe5,1608335501.769971,all,[180825.1714],None,2018-01-05,0.1,000:00:44
27c99538-daa5-4836-b046-f2cf7bd16226,1608353902.547319,netherlands,[0],"[0.6, 0.4]",2019-01-05,0.1,00:00:02
5f36d264-ebc5-446f-a83f-6e11ca41b5e2,1608354692.72546,netherlands,[0],"[0.6, 0.4]",2019-01-05,0.1,00:00:02
7700b7c1-8e0c-446e-b013-0cf92e121a96,1608355956.711642,netherlands,[0],"[0.6, 0.4]",2019-01-05,0.1,00:00:02
614e8ba0-87bc-4b5b-8dc7-6090a1a17070,1608357960.805712,all,[180825.1714],None,2018-01-05,0.1,000:00:36
3b6d3330-4c7f-4f22-b596-31b5f0f1af0f,1608358202.484374,netherlands,[0],"[0.6, 0.4]",2019-01-05,0.1,00:00:02
47d0634e-4daf-4614-a9a0-33a90d332d95,1608360244.2251468,all,[180825.1714],None,2018-01-05,0.1,000:00:35
c8a053ef-8625-4d04-94d7-4ef1bc8cf1e5,1608361490.672485,netherlands,[0],"[0.6, 0.4]",2019-01-05,0.1,00:00:02
ca835073-19ca-4b2c-8808-430cf8ecaf9d,1608420001.3414452,netherlands,[0],"[0.6, 0.4]",2019-01-05,0.1,00:00:02
d27dd510-9f59-480b-9e09-65d4da24713b,1608420162.515371,united_kingdom,[0],"[0.6, 0.4]",2018-12-01,0.1,00:00:02
7794a448-a224-480d-8887-1e7eefe086ff,1608420612.232453,all,[180825.1714],None,2018-01-05,0.1,000:00:37
542b5cda-842f-4f12-8dd5-7d7979cdcb72,1608420997.716266,all,[180035.43404],None,2018-01-05,0.1,000:00:34
c38d67a4-ecb7-4bc7-87b5-506a8e9aedea,1608421155.089118,all,[180035.43404],None,2018-01-05,0.1,000:00:33
f940e976-a59f-4994-8510-7acbe246b855,1608421610.269297,all,[180035.43404],None,2018-01-05,0.1,000:00:41
7e78b52a-c426-4012-bc61-0d05968746e6,1608421735.096823,all,[180035.43404],None,2018-01-05,0.1,000:00:39
1d26810a-897a-4132-8b82-5b3a9e371729,1608421870.3374348,all,[180035.43404],None,2018-01-05,0.1,000:00:32
70a25e7c-fd95-4bc5-aa7c-cf719d89c72f,1608851254.612086,all,[180035.43404],None,2018-01-05,0.1,000:00:33
